date_fin,date_debut,niveau_perturbation,typologie,voie,maitre_ouvrage,statut,identifiant,impact_circulation,geo_shape,objet,precision_localisation,cp_arrondissement,numero_stv,description,coordinates,duree(day)
2023-08-30,2021-06-14,2.0,3.0,rue de Sèvres,DUMEZ,2,CP001999,RESTREINTE,"[[[2.32567501181108, 48.850976338280596], [2.3259948937721537, 48.85111139587731], [2.3260198114059305, 48.85108060191929], [2.326012297730867, 48.85104819709105], [2.325726152197783, 48.850925227267865], [2.32567501181108, 48.850976338280596]]]",REHABILITATION_IMMEUBLE,en vis à vis du n°33,75006,12,cantonnement,"[2.3258546673669196, 48.85101696921646]",807.0
2024-05-31,2022-06-20,2.0,3.0,rue François 1er,Groupama,2,CP002341,RESTREINTE,"[[[2.3053115309504166, 48.86760573280608], [2.305248644751633, 48.86756110913281], [2.305049327349413, 48.86768559073597], [2.3050636326585967, 48.86769471582878], [2.3051101720714704, 48.86766690753373], [2.305156639071163, 48.867698587888626], [2.3053115309504166, 48.86760573280608]]]",REHABILITATION_IMMEUBLE,au n° 21,75008,9,Travaux de restructuration du bâtiment,"[2.3051956892887357, 48.8676330859472]",711.0
2024-02-28,2022-09-15,2.0,3.0,rue Laffitte / Rue de Provence,SOGEPROM,2,CP002393,RESTREINTE,"[[[2.338474946152101, 48.87409013002294], [2.3384767635390333, 48.87408895024193], [2.3384788693684375, 48.87406516718761], [2.338363384223726, 48.874069288222174], [2.338361112106191, 48.87410615752583], [2.3381608901004896, 48.87410743032034], [2.3381303807577707, 48.87409536428507], [2.3380973238119114, 48.87400000092884], [2.338066769186871, 48.87399150409931], [2.338076088377005, 48.87396776093707], [2.338054869463412, 48.87393433030774], [2.3380276513611498, 48.87394726696453], [2.3380727288600647, 48.874090286202396], [2.3381336856893205, 48.87411917725076], [2.338175091105123, 48.8741253553049], [2.3381984161455103, 48.87413500196], [2.3384834794719658, 48.87412824976569], [2.338474946152101, 48.87409013002294]]]",REHABILITATION_IMMEUBLE,Au 40 / 33-35,75009,11,,"[2.3382457791220967, 48.87407833631672]",531.0
2022-11-14,2022-10-17,1.0,2.0,Rue Botzaris,RTE,2,CP002400,SENS_UNIQUE,"[[[2.3811938475229795, 48.87767053159422], [2.3812709537442056, 48.87758145745426], [2.3812294346795224, 48.877416530288464], [2.3812423012723514, 48.87725188330002], [2.3812763870466847, 48.87666490272369], [2.381433492755519, 48.87623607387445], [2.3812647825838837, 48.87627102330424], [2.381105505722039, 48.87688243749682], [2.38111562036131, 48.87740160210599], [2.381182976690607, 48.877674073626274], [2.3811938475229795, 48.87767053159422]]]",INSPECTION_ENTRETIEN_RESEAU,Entre Simon Bolivar et rue Fressart,75019,10,Liaison souterraine Buttes Chaumont- Romainville,"[2.3812187577980715, 48.87691753628799]",28.0
2022-12-16,2022-11-17,1.0,1.0,Rue Marc Dormoy,SAGP - ACO,2,CP002418,RESTREINTE,"[[[[2.36004444557715, 48.88994314160685], [2.360045980328585, 48.88994365792689], [2.3599565514189615, 48.88814022594025], [2.3597655306688217, 48.88812254921516], [2.359824118075345, 48.889667136037545], [2.3597892415990867, 48.88971572887863], [2.3597983494329644, 48.89014883951784], [2.359776739624316, 48.89043901825321], [2.3600275097952665, 48.89044035876598], [2.3600346756938557, 48.89029762954955], [2.3600763991574554, 48.890132479614785], [2.3600745510926546, 48.89013603915187], [2.36004444557715, 48.88994314160685]]], [[[2.360045980328585, 48.88994365792689], [2.360046191280073, 48.88994791015541], [2.3600480393401346, 48.88994435061817], [2.360045980328585, 48.88994365792689]]]]",REAMENAGEMENT_VOIRIE,Entre le n° 52 et 76 rue Marc Dormoy + 2 rue Chapelle,75018,9,Désamiantage chaussée,"[2.3599045011784483, 48.88935864284029]",29.0
2023-05-09,2023-01-23,2.0,2.0,Rue Botzaris,RTE,1,CP002432,SENS_UNIQUE,"[[[2.381319686100286, 48.87770883340604], [2.381295772030179, 48.877747971922894], [2.381322120670288, 48.87780759526348], [2.3814106225423926, 48.877949631621874], [2.38154917610773, 48.87812999875405], [2.381670413039387, 48.87824959929831], [2.381770304277631, 48.87834410426467], [2.381922219554611, 48.87846267313598], [2.382106560269966, 48.87858497860541], [2.382484810761242, 48.87878323794796], [2.382876256097664, 48.8789339742081], [2.3831692035298504, 48.879024714603915], [2.3838597446442, 48.87920435220457], [2.384558165239849, 48.87932810865188], [2.385422758314771, 48.879433678059975], [2.3862049573507433, 48.87949003915823], [2.3876547748488752, 48.87952958679862], [2.3886415394454685, 48.87952392254776], [2.389339608651458, 48.87952510570747], [2.3893672785895737, 48.87947289869211], [2.387725623907778, 48.879487118607095], [2.38607918653445, 48.87944775350581], [2.385086417140693, 48.87935104815723], [2.384434384142817, 48.879270364811504], [2.3834680550059306, 48.87907384389698], [2.382801303570817, 48.87886577201572], [2.382298863556154, 48.87864426830211], [2.381777814650293, 48.87831915874063], [2.381590900638832, 48.87810998834492], [2.381319686100286, 48.87770883340604]]]",CREATION_RESEAUX,En 4 phases entre n° 28 (rue Fessart) et n° 86 (rue Crimée),75019,10,Artère liaison Chaumont - Atlas,"[2.385162163342379, 48.879141700559856]",106.0
2023-04-17,2020-09-14,1.0,2.0,Boulevard Vincent Auriol,RATP,2,CP001731,RESTREINTE,"[[[2.3565342230237585, 48.831294047879894], [2.358263322409682, 48.83185896218089], [2.3585773176931224, 48.83145265241965], [2.356419118137489, 48.83073780319138], [2.356220731689173, 48.830999785471484], [2.3565342230237585, 48.831294047879894]]]",TRAVAUX_OUVRAGE,entre la place d'Italie et la rue Albert Bayet,75013,14,Mécanisation de la station de la place d'Italie et dévoiement des concessionnaires.,"[2.357378206425131, 48.831305348070735]",945.0
2024-05-31,2022-08-22,2.0,3.0,Rue Scipion,GDG Scipion,2,CP002369,BARRAGE_TOTAL,"[[[2.353626719003378, 48.83840652337205], [2.3532449459867126, 48.83881493655165], [2.353298999786869, 48.83881641865733], [2.353675351776813, 48.8384091658779], [2.353626719003378, 48.83840652337205]]]",REHABILITATION_IMMEUBLE,Entre rue Vésale et rue du Fer à cheval,75005,12,Réhabilitation hôtel Scipion,"[2.3534589146739697, 48.83861453156144]",648.0
2022-12-30,2022-11-14,1.0,1.0,Pont IENA,SAGP,2,CP002407,RESTREINTE,"[[[2.2911723743026124, 48.86025188171515], [2.291378000032758, 48.86038730561306], [2.293060421566911, 48.859315552367235], [2.29333378742358, 48.859255431661076], [2.292963030602004, 48.85899824938073], [2.292830282357081, 48.85918803829557], [2.2911723743026124, 48.86025188171515]]]",REAMENAGEMENT_VOIRIE,Sur chaussée,75007,12,Piétonnisation du pont,"[2.2922503588788903, 48.85969600584461]",46.0
2022-09-15,2018-11-05,2.0,3.0,13-35 rue du Commandant René Mouchotte,Unibail,4,CP000949,RESTREINTE,"[[[2.3206320250242625, 48.83881550056989], [2.3197373976654294, 48.83804667662745], [2.3194938930633024, 48.83815973810068], [2.3203157049085124, 48.838852228982105], [2.3205491256086512, 48.83885468557592], [2.3206320250242625, 48.83881550056989]]]",REHABILITATION_IMMEUBLE,,75014,12,,"[2.320051588897463, 48.83847154786981]",1410.0
2023-07-04,2021-11-08,2.0,2.0,Place Denfert Rochereau,RATP RER,2,CP002169,RESTREINTE,"[[[[2.3324814046179307, 48.83413860435074], [2.3327426941445473, 48.83427688631628], [2.3331193043190193, 48.83409101097215], [2.3332265696537537, 48.83397345230322], [2.333294052237816, 48.83378585268434], [2.3333273475858727, 48.83372696036534], [2.3329642349614823, 48.833493994347485], [2.332865655146732, 48.83356863469825], [2.3331077757284078, 48.83372036525181], [2.3331471441096503, 48.83382262922859], [2.333064216172524, 48.83394569369624], [2.3328103163330147, 48.83407854659821], [2.3324814046179307, 48.83413860435074]]], [[[2.3324805101910373, 48.83413876754145], [2.332467827053632, 48.834141083688415], [2.33250022819938, 48.83415200660427], [2.3324805101910373, 48.83413876754145]]], [[[2.3324805101910373, 48.83413876754145], [2.3324814046179307, 48.83413860435074], [2.3324760298091833, 48.83413575932264], [2.3324805101910373, 48.83413876754145]]]]",TRAVAUX_OUVRAGE,Contre allée coté Est,75014,12,Base vie pour création sorties supplémentaires RER.,"[2.3329919285070484, 48.83393705608835]",603.0
2023-05-31,2022-09-19,2.0,1.0,Rue Le Nôtre,SAP,2,CP002383,RESTREINTE,"[[[2.288540448027376, 48.8591895024404], [2.2889569883308853, 48.85892427965069], [2.2888960278568184, 48.85889893152244], [2.2884885341305985, 48.85916182910073], [2.2885386449136575, 48.85918949172032], [2.288540448027376, 48.8591895024404]]]",TRAVAUX_OUVRAGE,En vis-à-vis du 1 au 5,75016,13,Travaux de réhabilitation du collecteur Ouest,"[2.2887222785951127, 48.859042579819224]",254.0
2023-12-29,2021-11-02,1.0,1.0,Porte Maillot,SPL Pariseine,2,CP002416,RESTREINTE,[''],REAMENAGEMENT_SECTEUR,,75017,9,Aménagement de la Place Maillot- Axe Majeur,,787.0
